BenchmarkFastStringMapSet-10           	50608712	        23.96 ns/op	       8 B/op	       1 allocs/op
BenchmarkFastStringMapSet-10           	50992041	        24.01 ns/op	       8 B/op	       1 allocs/op
BenchmarkFastStringMapSet-10           	50866944	        24.76 ns/op	       8 B/op	       1 allocs/op
BenchmarkFastStringMapSet-10           	51035505	        23.61 ns/op	       8 B/op	       1 allocs/op
BenchmarkBuiltinMapGet-10              	82984206	        20.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinMapGet-10              	84223575	        20.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinMapGet-10              	85215669	        23.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinMapGet-10              	87094047	        21.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinMapGet-10              	82156610	        15.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinMapGet-10              	87584048	        23.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinMapGet-10              	88205024	        21.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinMapGet-10              	87153880	        22.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinMapGet-10              	85929108	        16.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinMapGet-10              	84685711	        22.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkHaxMapGet-10                  	45193981	        26.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkHaxMapGet-10                  	45114828	        26.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkHaxMapGet-10                  	45224496	        26.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkHaxMapGet-10                  	44867218	        26.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkHaxMapGet-10                  	45886834	        26.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkHaxMapGet-10                  	45050186	        26.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkHaxMapGet-10                  	44241056	        26.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkHaxMapGet-10                  	45905412	        26.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkHaxMapGet-10                  	45934624	        26.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkHaxMapGet-10                  	45122816	        26.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexMapGet-10                	61904197	        19.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexMapGet-10                	62457982	        19.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexMapGet-10                	64572976	        21.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexMapGet-10                	63086232	        19.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexMapGet-10                	61158574	        19.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexMapGet-10                	61490502	        18.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexMapGet-10                	68169554	        19.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexMapGet-10                	61166493	        19.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexMapGet-10                	62964170	        19.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexMapGet-10                	64079457	        19.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStringMapGet-10           	76778913	        18.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStringMapGet-10           	78936763	        16.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStringMapGet-10           	78404463	        17.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStringMapGet-10           	79968448	        16.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStringMapGet-10           	76063500	        16.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStringMapGet-10           	76599819	        15.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStringMapGet-10           	77841840	        16.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStringMapGet-10           	76746171	        16.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStringMapGet-10           	81074008	        19.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStringMapGet-10           	78608199	        16.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkSimpleHash-10                 	30461748	        39.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkSimpleHash-10                 	30404602	        39.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkSimpleHash-10                 	30476965	        39.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkSimpleHash-10                 	29968282	        39.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkSimpleHash-10                 	30447127	        39.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkSimpleHash-10                 	30253562	        39.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkSimpleHash-10                 	30536001	        39.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkSimpleHash-10                 	30400204	        39.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkSimpleHash-10                 	30344792	        39.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkSimpleHash-10                 	29273796	        39.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkXxHash-10                     	100000000	        28.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkXxHash-10                     	100000000	        15.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkXxHash-10                     	100000000	        18.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkXxHash-10                     	100000000	        19.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkXxHash-10                     	100000000	        15.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkXxHash-10                     	100000000	        17.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkXxHash-10                     	100000000	        15.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkXxHash-10                     	100000000	        15.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkXxHash-10                     	100000000	        18.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkXxHash-10                     	100000000	        15.93 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/dannysy/go-cache/internal/fastmap	518.007s
